List Name;Access;Port Source;IP Source;Port Destination;IP Destination
master-in;permit;obj ntp;any;X;grp-obj ext_ntp
master-in;permit;obj smtp;any;X;grp-obj ext_smtp
master-in;permit;obj rsyslog;any;X;grp-obj ext_syslog
master-in;permit;obj ldaps;any;X;grp-obj ext_angelique
master-in;permit;grp-obj ipa;any;X;grp-obj ext_adm_ipa
master-in;permit;obj https;any;X;grp-obj ext_crl
master-in;permit;obj http;any;X;obj cloud_reposerver
master-in;permit;obj https;any;X;obj innov_teleport
master-in;permit;dns;grp-obj cloud_dns;X;grp-obj ext_dns
master-in;permit;obj https;grp-obj oc_integ_cluster;X;grp-obj ext_keycloak
master-in;permit;obj ssh;grp-obj oc_integ_master;X;grp-obj ext_sftp
master-in;permit;obj proxy;grp-obj grp_cloud_proxy;X;grp-obj ext_proxy
master-in;permit;obj https;grp-obj grp_cloud_proxy;X;grp-obj cloud
master-in;permit;obj ssh;grp-obj cloud_vm_adm;X;grp-obj cloud
master-in;permit;obj https;grp-obj cloud_vm_adm;X;grp-obj cloud
master-in;permit;udp;any;any;grp-obj cloud
master-in;deny;ip;any;any;grp-obj cloud
dti-in;permit;obj ssh;grp-obj cloud_vm_adm;any;grp-obj cloud
dti-in;permit;obj https;grp-obj cloud_vm_adm;any;grp-obj cloud
dti-in;permit;obj ssh;grp-obj ext_aap_exec;any;grp-obj cloud
dti-in;permit;obj https;grp-obj ext_aap_exec;any;grp-obj cloud
dti-in;permit;obj ssh;grp-obj ext_bastion_adm;any;grp-obj cloud_vm_adm
dti-in;permit;obj ssh;grp-obj ext_bastion_dev;any;grp-obj cloud_vm_dev
dti-in;permit;obj https;object;any;grp-obj cloud_vm_dev
dti-in;permit;obj ssh;object;any;grp-obj cloud_vm_dev
dti-in;permit;obj https;object;any;grp-obj cloud_vm_dev
dti-in;permit;obj https;object;any;grp-obj cloud_vm_dev
dti-in;permit;obj https;grp-obj dti;any;grp-obj cloud_lb
dti-in;permit;grp-obj isoda;object-group;any;grp-obj cloud_lb
dti-in;permit;obj https;object;any;grp-obj cloud_lb
dti-in;permit;grp-obj dns;object-group;any;grp-obj cloud_lb
dti-in;permit;obj port_3022;object;any;grp-obj cloud_lb
dti-in;permit;obj openshift;object;any;grp-obj cloud_lb
dti-in;permit;obj openshift;object;any;grp-obj cloud_lb
dti-in;permit;obj https;object;any;grp-obj cloud_lb
dti-in;permit;obj ssh;object;any;grp-obj cloud_lb
dti-in;permit;obj https;grp-obj dti;any;grp-obj cloud_lb
dti-in;deny;ip;any;any;grp-obj cloud_lb
cloud-in;permit;obj ntp;any;X;grp-obj ext_ntp
cloud-in;permit;obj smtp;any;X;grp-obj ext_smtp
cloud-in;permit;obj rsyslog;any;X;grp-obj ext_syslog
cloud-in;permit;grp-obj ipa;any;X;grp-obj ext_adm_ipa
cloud-in;permit;obj https;any;X;grp-obj ext_crl
cloud-in;permit;obj http;any;X;obj cloud_reposerver
cloud-in;permit;obj ldaps;any;X;grp-obj ext_angelique
cloud-in;permit;grp-obj dns;any;X;grp-obj cloud_dns
cloud-in;permit;obj proxy;any;X;grp-obj grp_cloud_proxy
cloud-in;permit;obj kafka;any;X;grp-obj kafka_acropole
cloud-in;permit;obj kafka;any;X;grp-obj kafka_acropole
cloud-in;deny;ip;any;any;grp-obj kafka_acropole
master-out;permit;grp-obj dns;any;X;grp-obj cloud_dns
master-out;permit;obj ssh;grp-obj ext_bastion_adm;X;grp-obj cloud_dns
master-out;permit;obj ssh;grp-obj ext_bastion_adm;X;grp-obj cloud_dns
master-out;permit;obj https;grp-obj ext_aap_exec;X;grp-obj cloud_dns
master-out;permit;obj ssh;grp-obj ext_aap_exec;X;grp-obj cloud_dns
master-out;permit;obj ssh;grp-obj cloud_vm_adm;X;grp-obj cloud_dns
master-out;permit;obj https;object;X;grp-obj cloud_dns
master-out;permit;obj https;grp-obj dti;X;grp-obj cloud_dns
master-out;permit;obj proxy;object;X;grp-obj cloud_dns
master-out;permit;obj openshift;object;X;grp-obj cloud_dns
master-out;permit;obj openshift;object;X;grp-obj cloud_dns
master-out;permit;obj port_3022;object;X;grp-obj cloud_dns
master-out;deny;ip;any;any;grp-obj cloud_dns
dti-out;permit;ip;any;any;grp-obj cloud_dns
management-in;permit;grp-obj dns;any;X;grp-obj cloud_dns
management-in;permit;obj http;any;X;obj cloud_reposerver
management-in;permit;obj http_user;grp-obj ilo_synergy;X;grp-obj cloud_vm_adm
management-in;permit;obj proxy;any;X;grp-obj grp_cloud_proxy
management-in;permit;obj ssh;grp-obj cloud_frame04_cmp;X;grp-obj ext_sftp
management-in;deny;ip;any;any;grp-obj ext_sftp
management-out;permit;obj ssh;grp-obj cloud_vm_adm;any;grp-obj ext_sftp
management-out;permit;obj ssh;grp-obj ext_aap_exec;any;grp-obj ext_sftp
management-out;permit;obj https;grp-obj ext_aap_exec;any;grp-obj ext_sftp
management-out;permit;obj https;grp-obj cloud_vm_adm;any;grp-obj cloud
management-out;permit;ip;grp-obj cloud;X;grp-obj ext_dns
management-out;deny;ip;any;any;grp-obj ext_dns
secbox-out;permit;ip;any;any;grp-obj ext_dns
secbox-in;deny;ip;any;any;grp-obj ext_dns
cloud-out;permit;ip;grp-obj cloud;X;grp-obj ext_dns
cloud-out;permit;obj https;grp-obj dti;X;grp-obj cloud_lb
cloud-out;permit;obj openshift;grp-obj dti;X;grp-obj cloud
cloud-out;permit;obj https;object;X;grp-obj cloud
cloud-out;permit;obj https;object;X;grp-obj cloud
cloud-out;permit;grp-obj isoda;object-group;X;grp-obj cloud
