Interface;State;Description;VLAN;Nameif;Security Level;IP;MASK
GigabitEthernet1/1;shutdown;No;;;;;
GigabitEthernet1/2;active;Acces;;;;;
GigabitEthernet1/2.10;active;VLAN;10;cloud_master;80;10.20.10.1;255.255.255.0
GigabitEthernet1/2.20;active;VLAN;20;cloud_bureautique;50;10.20.20.1;255.255.255.0
GigabitEthernet1/2.21;active;VLAN;21;cloud_bureautique_externe;50;10.20.21.1;255.255.255.0
GigabitEthernet1/2.30;active;VLAN;30;cloud_innovation;50;10.20.30.1;255.255.255.0
GigabitEthernet1/2.31;active;VLAN;31;cloud_innovation_externe;50;10.20.31.1;255.255.255.0
GigabitEthernet1/2.40;active;VLAN;40;cloud_atm2;20;10.20.40.1;255.255.255.0
GigabitEthernet1/2.41;active;VLAN;41;cloud_atm2_externe;50;10.20.41.1;255.255.255.0
GigabitEthernet1/2.254;active;VLAN;254;cloud_management;100;10.20.254.1;255.255.255.0
GigabitEthernet1/3;shutdown;No;;;;;
GigabitEthernet1/4;shutdown;No;;;;;
GigabitEthernet1/5;shutdown;No;;;;;
GigabitEthernet1/6;active;Secbox;;secbox;50;10.254.1.2;255.255.255.252
GigabitEthernet1/7;shutdown;No;;;;;
GigabitEthernet1/8;active;Acces;;innov;0;10.196.32.5;255.255.252.0
